,Unnamed: 0,Report Number,Accident Year,Accident Date/Time,Operator Name,Pipeline/Facility Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Accident City,Accident County,Accident State,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Intentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Property Damage Costs,Lost Commodity Costs,Public/Private Property Damage Costs,Emergency Response Costs,Environmental Remediation Costs,Other Costs,All Costs
99,99,20100081,2010,4/17/2010 7:00 PM,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",LINE 2,ONSHORE,UNDERGROUND,CRUDE OIL,,DEER RIVER,ITASCA,MN,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,5.0,0.0,4.0,1.0,NO,NO,YES,550000.0,350.0,20000.0,180000.0,216000.0,0.0,966350
2314,2314,20150427,2015,10/28/2015 3:01 PM,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",FOUR CORNERS PUMP STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",ARTESIA,EDDY,NM,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.35,,0.0,0.35,NO,NO,YES,300.0,50.0,0.0,1000.0,5000.0,0.0,6350
674,674,20120011,2011,12-08-11 9:15,"PLAINS PIPELINE, L.P.",JAL STATION,ONSHORE,TANK,CRUDE OIL,,JAL,LEA,NM,INCORRECT OPERATION,DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR,0.0,,0.0,0.0,YES,YES,NO,190000.0,4750.0,0.0,0.0,0.0,0.0,194750
501,501,20110225,2011,06-10-11 11:00,"NUSTAR LOGISTICS, L.P.",31P RINGGOLD - WASSON PIPELINE,ONSHORE,UNDERGROUND,CRUDE OIL,,RINGLING,CARTER,OK,CORROSION,INTERNAL,0.23,0.0,0.0,0.23,NO,NO,,9070.0,23.0,0.0,1350.0,100.0,0.0,10543
2045,2045,20150159,2015,04-06-15 16:20,JAYHAWK PIPELINE LLC,ARNOLD STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,NESS,KS,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.38,,0.23,0.15,NO,NO,YES,16000.0,7.0,0.0,2500.0,250.0,0.0,18757
1603,1603,20140143,2014,3/31/2014 5:00 AM,ENTERPRISE PRODUCTS OPERATING LLC,NORTH PORT ARTHUR TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",PORT ARTHUR,JEFFERSON,TX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.24,,0.24,0.0,NO,NO,YES,10000.0,45.0,0.0,5000.0,10000.0,0.0,25045
734,734,20120071,2012,2/14/2012 4:55 PM,"MAGELLAN PIPELINE COMPANY, LP",ROSEMOUNT PUMP STATION,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),APPLE VALLEY,DAKOTA,MN,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,1477.0,0.0,1195.24,281.76,NO,NO,NO,500.0,165425.0,0.0,414000.0,1797701.0,0.0,2377626
443,443,20110124,2011,3/30/2011 12:55 AM,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,GENEVA TO NORFOLK - 8 INCH,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",GENEVA,FILLMORE COUNTY,NE,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.55,0.0,0.55,0.0,NO,NO,,4500.0,100.0,0.0,500.0,500.0,0.0,5600
925,925,20120270,2012,8/20/2012 3:45 PM,EXXONMOBIL PIPELINE CO,"MT BELVIEU TO BAYTOWN 10"" CHEM GRADE PROPYLENE",ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",,BAYTOWN,HARRIS,TX,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.25,0.0,0.0,0.25,NO,NO,YES,10000.0,50.0,0.0,20000.0,0.0,100000.0,130050
842,842,20120188,2012,5/18/2012 4:12 PM,"BUCKEYE PARTNERS, LP",NORCO,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),MANHATTAN,WILL,IL,CORROSION,EXTERNAL,2.38,,2.38,0.0,NO,NO,NO,27901.0,0.0,0.0,174672.0,160350.0,32856.0,395779
1390,1390,20130375,2013,10-06-13 12:30,CRIMSON PIPELINE L.P.,TAYLOR LEASE,ONSHORE,ABOVEGROUND,CRUDE OIL,,VENTURA,,CA,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,500.0,,490.0,10.0,NO,NO,YES,1000.0,0.0,0.0,166000.0,23000.0,0.0,190000
2254,2254,20150362,2015,9/19/2015 7:40 AM,COLONIAL PIPELINE CO,GAFFNEY STATION,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),GAFFNEY,CHEROKEE,SC,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.21,,0.12,0.09,NO,NO,YES,1000.0,30.0,0.0,5000.0,0.0,0.0,6030
669,669,20120001,2011,12-06-11 3:45,COLONIAL PIPELINE CO,COLONIAL/OXFORD STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",OXFORD,CALHOUN,AL,INCORRECT OPERATION,INCORRECT INSTALLATION,69.0,0.0,68.0,1.0,NO,NO,YES,20000.0,10000.0,3200.0,300000.0,500000.0,0.0,833200
1922,1922,20150036,2015,01-08-15 12:50,ENTERPRISE CRUDE PIPELINE LLC,JONES CREEK TANK FARM,ONSHORE,UNDERGROUND,CRUDE OIL,,FREEPORT,BRAZORIA,TX,CORROSION,INTERNAL,300.0,,200.0,100.0,NO,NO,YES,11250.0,15000.0,0.0,250000.0,130000.0,0.0,406250
1551,1551,20140118,2014,2/27/2014 9:22 AM,ENTERPRISE CRUDE PIPELINE LLC,CUSHING MANIFOLD B,ONSHORE,ABOVEGROUND,CRUDE OIL,,CUSHING,PAYNE,OK,CORROSION,INTERNAL,1.5,,1.5,0.0,NO,NO,YES,50000.0,150.0,0.0,0.0,1500.0,5000.0,56650
2597,2597,20160248,2016,7/13/2016 6:35 PM,WILLIAMS FIELD SERVICES,MCDONALD PUMP STATION,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),MCDONALD,RAWLINGS,KS,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2.28,14.4,0.0,2.28,NO,NO,YES,3000.0,112.0,0.0,200.0,0.0,576.0,3888
2022,2022,20150115,2015,3/15/2015 9:20 PM,ENTERPRISE PRODUCTS OPERATING LLC,SEMINOLE MAINLINE,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,LINCOLN,LEE COUNTY,TX,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.1,36.3,0.0,0.1,NO,NO,YES,230000.0,50.0,0.0,0.0,0.0,0.0,230050
1202,1202,20130167,2013,4/17/2013 1:25 PM,"BUCKEYE PARTNERS, LP",LIMA SOUTH,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),LIMA,ALLEN,OH,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0.12,,0.12,0.0,NO,NO,NO,0.0,0.0,0.0,5000.0,5000.0,0.0,10000
1880,1880,20140436,2014,11/26/2014 10:00 PM,"PLAINS PIPELINE, L.P.",WASSON STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,DENVER CITY,YOAKUM,TX,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,50.0,,50.0,0.0,NO,NO,YES,43000.0,1600.0,0.0,1500.0,0.0,0.0,46100
1318,1318,20130285,2013,7/27/2013 8:31 AM,ENTERPRISE PRODUCTS OPERATING LLC,WHITE LAKES TO KUTZ,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",VAUGHN,GUADALUPE,NM,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,1.2,,1.2,0.0,NO,NO,NO,14000.0,200.0,0.0,2000.0,0.0,0.0,16200
2417,2417,20160049,2016,1/29/2016 10:20 AM,PLANTATION PIPE LINE CO,BATON ROUGE TANK FARM,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",BATON ROUGE,EAST BATON ROUGE,LA,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,1.02,,1.02,0.0,NO,NO,NO,350.0,40.0,0.0,9100.0,0.0,0.0,9490
1691,1691,20140239,2014,06-05-14 2:00,MARATHON PIPE LINE LLC,OWENSBORO STATION,ONSHORE,UNDERGROUND,CRUDE OIL,,OWENSBORO,DAVIESS,KY,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,7.1,,7.1,0.0,NO,NO,,1500.0,710.0,0.0,0.0,0.0,0.0,2210
38,38,20100256,2010,02-09-10 10:00,PLANTATION PIPE LINE CO,BATON ROUGE TANK FARM,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),BATON ROUGE,EAST BATON ROUGE,LA,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.64,0.0,0.64,0.0,NO,NO,,500.0,0.0,0.0,450.0,0.0,0.0,950
1427,1427,20130391,2013,11/20/2013 12:50 PM,ROSE ROCK MIDSTREAM L.P.,WEST PONCA TRUCK STATION,ONSHORE,UNDERGROUND,CRUDE OIL,,PONCA CITY,KAY,OK,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,125.0,,125.0,0.0,NO,NO,YES,0.0,0.0,0.0,2000.0,0.0,0.0,2000
556,556,20110322,2011,08-08-11 16:00,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,GENEVA TO COLUMBUS,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",GENEVA,FILLMORE COUNTY,NE,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,3.57,0.0,3.57,0.0,NO,NO,YES,15.0,507.0,0.0,4500.0,7500.0,0.0,12522
2639,2639,20160292,2016,8/13/2016 2:45 AM,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",FOUR CORNERS PUMP STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),ARTESIA,EDDY,NM,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,10.0,,10.0,0.0,NO,NO,YES,1000.0,500.0,0.0,4000.0,5000.0,0.0,10500
2272,2272,20150380,2015,9/30/2015 1:10 AM,INLAND CORPORATION,DAYTON BP TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),DAYTOM,MONTGOMERY,OH,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.2,,0.2,0.0,NO,NO,YES,0.0,20.0,0.0,35000.0,10000.0,0.0,45020
687,687,20120020,2011,12/20/2011 9:30 AM,SUNOCO PIPELINE L.P.,SARATOGA STATION,ONSHORE,UNDERGROUND,CRUDE OIL,,SARATOGA,HARDIN,TX,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,2.5,0.0,0.0,2.5,NO,NO,NO,0.0,242.0,0.0,5192.0,0.0,0.0,5434
386,386,20110051,2011,02-05-11 5:00,DCP MIDSTREAM,HARLAN TANK FARM,ONSHORE,TANK,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),BISHOP,NUECES,TX,NATURAL FORCE DAMAGE,TEMPERATURE,1000.0,0.0,5.0,995.0,NO,NO,NO,200.0,92000.0,0.0,3000.0,20000.0,0.0,115200
1638,1638,20140198,2014,4/25/2014 10:00 AM,WEST TEXAS GULF PIPELINE CO,RANGER STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,ZEPHYR,BROWN,TX,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.5,,0.0,0.5,NO,NO,NO,2000.0,50.0,0.0,2000.0,11669.0,0.0,15719
1329,1329,20130290,2013,08-01-13 20:00,EXXONMOBIL OIL CORP - WEST COAST,BELRIDGE PUMP STATION-,ONSHORE,UNDERGROUND,CRUDE OIL,,MCKITTRICK,KERN,CA,CORROSION,EXTERNAL,10.65,,10.65,0.0,NO,NO,,0.0,9600.0,0.0,32500.0,2000.0,0.0,44100
2603,2603,20160252,2016,7/19/2016 10:00 AM,MARATHON PIPE LINE LLC,"MONT BELVIEU TO GALVESTON BAY REFINERY 8"" BUTANE ",ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,MONT BELVIEU,CHAMBERS ,TX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,1.1,0.0,0.0,1.1,NO,NO,NO,10500.0,31.0,0.0,8900.0,0.0,0.0,19431
1435,1435,20130390,2013,11/27/2013 10:30 AM,"THUNDER BASIN PIPELINE, LLC",LEBAR JUNCTION,ONSHORE,ABOVEGROUND,CRUDE OIL,,DOUGLAS,CONVERSE,WY,NATURAL FORCE DAMAGE,TEMPERATURE,15.0,,0.0,15.0,NO,NO,YES,2000.0,1200.0,5000.0,3000.0,75000.0,0.0,86200
1601,1601,20140167,2014,3/29/2014 2:50 PM,WEST SHORE PIPELINE CO,DES PLAINES STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",ARLINGTON HEIGHTS,COOK,IL,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,1.0,,1.0,0.0,NO,NO,NO,6755.0,0.0,0.0,7125.0,384.0,523.0,14787
1527,1527,20140095,2014,2/14/2014 9:00 AM,"PLAINS PIPELINE, L.P.",COLORADO CITY,ONSHORE,TANK,CRUDE OIL,,HERMLEIGH,SCURRY,TX,CORROSION,INTERNAL,10.0,,10.0,0.0,NO,NO,NO,27257.0,1000.0,0.0,2500.0,1500.0,0.0,32257
2275,2275,20150384,2015,10-04-15 10:30,PHILLIPS 66 PIPELINE LLC,BEAUMONT TERMINAL,ONSHORE,TANK,CRUDE OIL,,NEDERLAND,JEFFERSON,TX,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.38,,0.38,0.0,NO,NO,NO,2000.0,25.0,0.0,500.0,500.0,0.0,3025
2674,2674,20160322,2016,09-08-16 2:00,ENTERPRISE CRUDE PIPELINE LLC,MIDLAND STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,MIDLAND,MIDLAND,TX,CORROSION,INTERNAL,60.0,,60.0,0.0,NO,NO,YES,13000.0,2025.0,0.0,0.0,0.0,0.0,15025
528,528,20110274,2011,07-09-11 9:15,ENBRIDGE PIPELINES (OZARK) L.L.C.,CUSHING TERMINAL ,ONSHORE,UNDERGROUND,CRUDE OIL,,CUSHING,PAYNE,OK,CORROSION,INTERNAL,0.6,0.0,0.6,0.0,NO,NO,NO,0.0,50.0,0.0,0.0,5000.0,0.0,5050
1896,1896,20140430,2014,12-10-14 14:12,"BUCKEYE PARTNERS, LP",LIMA STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",LIMA,ALLEN,OH,INCORRECT OPERATION,OTHER INCORRECT OPERATION,1.0,,1.0,0.0,NO,NO,YES,0.0,91.0,0.0,15160.0,0.0,249.0,15500
1238,1238,20130207,2013,5/15/2013 1:23 PM,COLONIAL PIPELINE CO,"COLONIAL/LINE 01 MLBV AT HWY 124 NEAR FANNETT, TX",ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),BEAUMONT (FANNETT),JEFFERSON,TX,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,4.1,,4.1,0.0,NO,NO,YES,4500.0,500.0,0.0,250000.0,195000.0,0.0,450000
1074,1074,20130041,2013,01-11-13 0:05,ENTERPRISE CRUDE PIPELINE LLC,CEDAR STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,TEAGUE,FREESTONE,TX,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,1.5,0.0,0.0,1.5,NO,NO,,500.0,200.0,0.0,0.0,5000.0,0.0,5700
1787,1787,20140338,2014,09-03-14 3:53,"KINDER MORGAN LIQUID TERMINALS, LLC",,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),CARTERET,MIDDLESEX,NJ,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.48,,0.48,0.0,NO,NO,NO,2500.0,100.0,0.0,500.0,600.0,0.0,3700
907,907,20120248,2012,7/27/2012 2:41 PM,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",LINE 14 MP 232,ONSHORE,UNDERGROUND,CRUDE OIL,,GRAND MARSH,ADAMS,WI,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,1729.0,0.0,1100.0,629.0,NO,NO,YES,1510369.0,133133.0,1027158.0,623877.0,1680707.0,39164.0,5014408
156,156,20100129,2010,06-09-10 22:47,SUNOCO PIPELINE L.P.,SHELDON ROAD STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,HOUSTON,HARRIS,TX,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,3.0,0.0,0.0,3.0,NO,NO,YES,1445.0,0.0,0.0,5613.0,9476.0,0.0,16534
2334,2334,20150445,2015,11-05-15 18:00,"ONEOK NGL PIPELINE, LLC",ARBUCKLE PIPELINE - ENTERPRISE-TARGA DELIVERY,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),MT. BELVIEU,CHAMBERS,TX,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0.1,0.0,0.0,0.1,YES,NO,NO,750.0,2.0,0.0,250.0,0.0,0.0,1002
355,355,20110023,2011,01-07-11 11:00,ENTERPRISE CRUDE PIPELINE LLC,BOWIE STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,BOWIE,MONTAGUE,TX,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,1.0,0.0,0.0,1.0,NO,NO,,50.0,75.0,0.0,0.0,0.0,4500.0,4625
1907,1907,20150017,2014,12/18/2014 2:15 PM,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",BEESON PUMP STATION,ONSHORE,UNDERGROUND,CRUDE OIL,,,EDDY,NM,ALL OTHER CAUSES,MISCELLANEOUS,0.5,,0.0,0.5,NO,NO,NO,0.0,40.0,0.0,0.0,50100.0,0.0,50140
1654,1654,20140217,2014,05-01-14 13:00,ENTERPRISE CRUDE PIPELINE LLC,MIDLAND TANK FARM,ONSHORE,ABOVEGROUND,CRUDE OIL,,MIDLAND,MIDLAND,TX,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,4.0,,4.0,0.0,NO,NO,NO,0.0,400.0,0.0,0.0,1000.0,0.0,1400
1058,1058,20130027,2012,12/29/2012 9:02 PM,MARATHON PIPE LINE LLC,WOODHAVEN FACILITY,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,WOODHAVEN,WAYNE,MI,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,0.0,0.0,0.0,YES,NO,NO,6000.0,0.0,0.0,0.0,0.0,0.0,6000
2385,2385,20160034,2016,01-08-16 8:29,COLONIAL PIPELINE CO,LINE 1 BATON ROUGE TO COLLINS,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),GREENSBURG,ST. HELENA,LA,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",2853.5,,19.5,2834.0,NO,NO,YES,75000.0,360000.0,10000.0,75000.0,3680000.0,0.0,4200000
114,114,20100104,2010,05-04-10 22:10,EXXONMOBIL OIL CORP - WEST COAST,SOUTHWESTERN TERMINAL AREA 1,ONSHORE,ABOVEGROUND,CRUDE OIL,,SAN  PEDRO  CALIFORNIA,LOS ANGELES,CA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2.0,0.0,2.0,0.0,NO,NO,NO,0.0,130.0,0.0,13245.0,0.0,5000.0,18375
1003,1003,20120354,2012,11-07-12 10:40,CHEVRON PIPE LINE CO,ESR-MONTEBELLO,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",GARDENA,LOS ANGELES,CA,CORROSION,INTERNAL,20.0,,0.0,20.0,NO,NO,YES,285000.0,0.0,20000.0,200000.0,180000.0,495000.0,1180000
2435,2435,20160072,2016,02-12-16 19:45,"ROADRUNNER PIPELINE, L.L.C.",ROADRUNNER RECEIVING STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,"NEAR SUNDOWN, TEXAS",HOCKLEY COUNTY,TX,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,34.0,,20.0,14.0,NO,NO,YES,5000.0,900.0,0.0,1000.0,5000.0,0.0,11900
2595,2595,20160251,2016,07-12-16 12:00,BHP BILLITON PETROLEUM (EAGLE FORD GATHERING) LLC,"10"" HAWKVILLE LIQUID NORTH",ONSHORE,UNDERGROUND,CRUDE OIL,,,Not Within a County or Parish,TX,CORROSION,INTERNAL,5.6,,0.0,5.6,NO,NO,YES,15000.0,224.0,0.0,2000.0,59000.0,0.0,76224
1631,1631,20140195,2014,4/22/2014 1:34 AM,PHILLIPS 66 PIPELINE LLC,LAKE CHARLES PIPELINE FACILITY,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),SULPHUR,CALCASIEU,LA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.9,,0.9,0.0,NO,NO,YES,1000.0,120.0,0.0,1000.0,0.0,0.0,2120
2184,2184,20150303,2015,7/26/2015 9:00 AM,SUNOCO PIPELINE L.P.,HEBERT STATION,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",BEAUMONT,JEFFERSON,TX,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,1.0,,1.0,0.0,NO,NO,NO,0.0,0.0,0.0,1000.0,4000.0,0.0,5000
2304,2304,20150407,2015,10/22/2015 11:30 AM,ENTERPRISE CRUDE PIPELINE LLC,MIDLAND STATION,ONSHORE,UNDERGROUND,CRUDE OIL,,MIDLAND,MIDLAND,TX,CORROSION,INTERNAL,100.0,,100.0,0.0,NO,NO,YES,72117.0,3000.0,0.0,0.0,0.0,0.0,75117
1266,1266,20130226,2013,06-04-13 6:45,JAYHAWK PIPELINE LLC,CHASE STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,"NEAR CHASE, KS",RICE,KS,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,3.7,,0.0,3.7,NO,NO,,0.0,315.0,0.0,3400.0,7000.0,2610.0,13325
1983,1983,20150101,2015,2/22/2015 8:17 AM,PHILLIPS 66 PIPELINE LLC,BEAUMONT TERMINAL,ONSHORE,ABOVEGROUND,CRUDE OIL,,NEDERLAND,JEFFERSON,TX,CORROSION,INTERNAL,2.97,,2.97,0.0,NO,NO,NO,2000.0,200.0,0.0,3000.0,3000.0,0.0,8200
2658,2658,20160272,2016,8/25/2016 6:00 AM,NGL CRUDE TERMINALS,NGL ENERGY PARTNERS,ONSHORE,TANK,CRUDE OIL,,CUSHING,LINCOLN,OK,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,3.0,,3.0,0.0,NO,NO,NO,400.0,141.0,0.0,30.0,2800.0,200.0,3571
2722,2722,20160382,2016,10/21/2016 3:02 AM,SUNOCO PIPELINE L.P.,"8"" BALD EAGLE TO BUFFALO",ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),GAMBLE TOWNSHIP,LYCOMING,PA,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,1238.0,,0.0,1238.0,NO,NO,YES,1600000.0,85722.0,0.0,856704.0,20000.0,0.0,2562426
1517,1517,20140083,2014,02-07-14 12:45,COLONIAL PIPELINE CO,BATON ROUGE JUNCTION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),JACKSON,EAST FELICIANA,LA,INCORRECT OPERATION,INCORRECT VALVE POSITION,0.13,,0.13,0.0,NO,NO,NO,0.0,15.0,0.0,2800.0,0.0,0.0,2815
1529,1529,20140078,2014,2/15/2014 10:00 AM,"MAGELLAN PIPELINE COMPANY, LP",OLATHE TERMINAL #222,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),OLATHE,JOHNSON,KS,NATURAL FORCE DAMAGE,TEMPERATURE,7.3,,7.3,0.0,NO,NO,NO,90000.0,920.0,0.0,10000.0,113220.0,0.0,214140
